商品ID,商品名称,生产地区,规格,单价(元),库存数量
fp1,鱼泉榨菜,万州区,500g 装,29,999
fp1,鱼泉榨菜,万州区,1kg 装,51,999
fp1,鱼泉榨菜,万州区,礼盒装,74,999
fp2,土沱麻饼,两江新区,500g 装,37,999
fp2,土沱麻饼,两江新区,1kg 装,59,999
fp2,土沱麻饼,两江新区,礼盒装,82,999
fp3,丰都麻辣鸡,丰都县,500g 装,45,999
fp3,丰都麻辣鸡,丰都县,1kg 装,67,999
fp3,丰都麻辣鸡,丰都县,礼盒装,90,999
fp4,白市驿板鸭,九龙坡区,500g 装,53,999
fp4,白市驿板鸭,九龙坡区,1kg 装,75,999
fp4,白市驿板鸭,九龙坡区,礼盒装,98,999
fp5,云阳红橙,云阳县,500g 装,61,999
fp5,云阳红橙,云阳县,1kg 装,83,999
fp5,云阳红橙,云阳县,礼盒装,106,999
fp6,缙云毛峰,北碚区,500g 装,69,999
fp6,缙云毛峰,北碚区,1kg 装,91,999
fp6,缙云毛峰,北碚区,礼盒装,114,999
fp7,南山腊梅,南岸区,500g 装,77,999
fp7,南山腊梅,南岸区,1kg 装,99,999
fp7,南山腊梅,南岸区,礼盒装,122,999
fp8,南川金佛玉翠茶,南川区,500g 装,85,999
fp8,南川金佛玉翠茶,南川区,1kg 装,107,999
fp8,南川金佛玉翠茶,南川区,礼盒装,130,999
fp9,合川桃片,合川区,500g 装,93,999
fp9,合川桃片,合川区,1kg 装,115,999
fp9,合川桃片,合川区,礼盒装,138,999
fp10,垫江白柚,垫江县,500g 装,29,999
fp10,垫江白柚,垫江县,1kg 装,51,999
fp10,垫江白柚,垫江县,礼盒装,74,999
fp11,城口老腊肉,城口县,500g 装,37,999
fp11,城口老腊肉,城口县,1kg 装,59,999
fp11,城口老腊肉,城口县,礼盒装,82,999
fp12,九叶青花椒,大渡口区,500g 装,45,999
fp12,九叶青花椒,大渡口区,1kg 装,67,999
fp12,九叶青花椒,大渡口区,礼盒装,90,999
fp13,大足冬菜,大足区,500g 装,53,999
fp13,大足冬菜,大足区,1kg 装,75,999
fp13,大足冬菜,大足区,礼盒装,98,999
fp14,奉节脐橙,奉节县,500g 装,61,999
fp14,奉节脐橙,奉节县,1kg 装,83,999
fp14,奉节脐橙,奉节县,礼盒装,106,999
fp15,巫山脆李,巫山县,500g 装,69,999
fp15,巫山脆李,巫山县,1kg 装,91,999
fp15,巫山脆李,巫山县,礼盒装,114,999
fp16,巫溪老鹰茶,巫溪县,500g 装,77,999
fp16,巫溪老鹰茶,巫溪县,1kg 装,99,999
fp16,巫溪老鹰茶,巫溪县,礼盒装,122,999
fp17,五布柚,巴南区,500g 装,85,999
